#          flV       ffV
             4700           0
             4800    0.003359
             4900     0.01825
             5000     0.05128
             5100     0.08734
             5200      0.1083
             5300       0.112
             5400      0.1089
             5500      0.1005
             5600     0.08868
             5700     0.07659
             5800     0.06427
             5900     0.05162
             6000      0.0402
             6100     0.03023
             6200     0.02206
             6300     0.01512
             6400     0.00907
             6500    0.005039
             6600    0.002799
             6700    0.001903
             6800    0.001456
             6900    0.001008
             7000           0
